Grupo,Test,Command,Result
GrupoK,31,TRUE,FALSE
GrupoK,32,TRUE,FALSE
GrupoK,43,TRUE,FALSE
GrupoK,44,TRUE,FALSE
GrupoK,46,TRUE,FALSE
GrupoK,58,TRUE,FALSE
GrupoK,59,TRUE,FALSE
GrupoK,60,TRUE,FALSE
GrupoK,65,TRUE,FALSE
GrupoK,66,TRUE,FALSE
GrupoK,72,TRUE,FALSE
GrupoK,73,TRUE,FALSE
GrupoK,75,TRUE,FALSE
GrupoK,76,TRUE,FALSE
GrupoK,78,TRUE,FALSE
GrupoK,79,TRUE,FALSE
GrupoK,80,TRUE,FALSE
GrupoK,89,TRUE,FALSE
GrupoK,90,TRUE,FALSE
GrupoK,93,TRUE,FALSE
GrupoK,94,TRUE,FALSE
GrupoK,96,TRUE,FALSE
GrupoK,97,TRUE,FALSE
GrupoK,98,TRUE,FALSE
GrupoK,99,TRUE,FALSE
GrupoK,100,TRUE,FALSE
GrupoK,103,TRUE,FALSE
GrupoK,104,TRUE,FALSE
